# # Time 	 R_dot 	 Theta_dot 
# 
1.688414480999999912e+00	-3.564690529999999663e-02	-2.148834202022322126e-15
1.693950194999999992e+00	-3.586823304000000268e-02	-2.149373264797491380e-15
1.699485909999999933e+00	-3.608998583999999815e-02	-2.170421782083221067e-15
1.705021624000000013e+00	-3.631216187999999900e-02	-2.202501952800534152e-15
1.710557338000000094e+00	-3.653475936000000202e-02	-2.202289378301707358e-15
1.716093051999999952e+00	-3.675777633999999933e-02	-2.213567180669628829e-15
1.721628766999999893e+00	-3.698121112000000293e-02	-2.208863141238475718e-15
1.727164480999999974e+00	-3.720506201999999873e-02	-2.198098393492770263e-15
1.732700195000000054e+00	-3.742932748000000337e-02	-2.189994897941901558e-15
1.738235909999999995e+00	-3.765400564000000172e-02	-2.187144697464336210e-15
1.743771624000000076e+00	-3.787909471999999916e-02	-2.189678448390019693e-15
1.749307337999999934e+00	-3.810459280000000337e-02	-2.199386342286965645e-15
1.754843052000000014e+00	-3.833049825999999827e-02	-2.187172101924724778e-15
1.760378766999999955e+00	-3.855680935999999948e-02	-2.206698556127354422e-15
1.765914481000000036e+00	-3.878352457999999919e-02	-2.227449025885524088e-15
1.771450194999999894e+00	-3.901064231999999687e-02	-2.253004830047684319e-15
1.776985910000000057e+00	-3.923816019999999682e-02	-2.255634608957526911e-15
1.782521623999999916e+00	-3.946607433999999720e-02	-2.288351677024549088e-15
1.788057337999999996e+00	-3.969438179999999761e-02	-2.313283744445395786e-15
1.793593052000000077e+00	-3.992308180000000289e-02	-2.326560199058368338e-15
1.799128767000000018e+00	-4.015217286000000163e-02	-2.329050143835387905e-15
1.804664481000000098e+00	-4.038199616000000269e-02	-2.323170612223612454e-15
1.810200194999999956e+00	-4.061183612000000137e-02	-2.317558785741644382e-15
1.815735909999999897e+00	-4.084202874000000122e-02	-2.311390129742045098e-15
1.821271623999999978e+00	-4.107258306000000081e-02	-2.273321859344965097e-15
1.826807338000000058e+00	-4.130352017999999736e-02	-2.264087446148297234e-15
1.832343051999999917e+00	-4.153485233999999748e-02	-2.254994851630744998e-15
1.837878767000000080e+00	-4.176657148000000042e-02	-2.251628096932382446e-15
1.843414480999999938e+00	-4.199866141999999969e-02	-2.228041658496694898e-15
1.848950195000000019e+00	-4.223111455999999791e-02	-2.247123563514633949e-15
1.854485909999999960e+00	-4.246393694000000218e-02	-2.273837383820009595e-15
1.860021624000000040e+00	-4.269714181999999941e-02	-2.301659070890684095e-15
1.865557337999999898e+00	-4.293073974000000126e-02	-2.291660269515245564e-15
1.871093051999999979e+00	-4.316472710000000129e-02	-2.308453566079860274e-15
1.876628766999999920e+00	-4.339908643999999815e-02	-2.327889007621574734e-15
1.882164481000000000e+00	-4.363380034000000074e-02	-2.356896348723661281e-15
