# ############################################################################### 
# # ShiftTracker1.asc:
# # itt	time	x	y	z	vx	vy	vz	ax	ay	az
# #=======================================================================
# 
8.700000000000000000e+01	2.247500000000000053e-01	-1.499943591999999937e+00	-3.920857490999999913e-04	-1.211573620999999922e-09	1.101044824999999980e-03	-7.609311330999999658e-03	-2.520461687999999868e-08	1.454526979000000074e-02	-9.924858049000000182e-02	-2.623842496999999974e-07
8.800000000000000000e+01	2.273333332999999956e-01	-1.499940746999999908e+00	-4.117463463999999906e-04	-1.276649011000000011e-09	1.139206047000000058e-03	-7.869430868000000176e-03	-2.584001250000000078e-08	1.477208577000000030e-02	-1.006914339000000019e-01	-2.459595959000000087e-07
8.900000000000000000e+01	2.299166666999999942e-01	-1.499937703999999927e+00	-4.327577955999999744e-04	-1.344960906999999963e-09	1.177976019999999987e-03	-8.133464191999999204e-03	-2.644331466000000066e-08	1.500773153000000033e-02	-1.022064478999999970e-01	-2.335363201999999938e-07
9.000000000000000000e+01	2.325000000000000122e-01	-1.499934660000000086e+00	-4.537723017000000166e-04	-1.413223170000000066e-09	1.217303014000000036e-03	-8.401047537000000051e-03	-2.698897754000000145e-08	1.522335265000000076e-02	-1.035806499000000019e-01	-2.112243391999999884e-07
9.100000000000000000e+01	2.350833333000000025e-01	-1.499931412000000019e+00	-4.761760323999999762e-04	-1.484237170999999986e-09	1.257220460999999975e-03	-8.672411869000000093e-03	-2.748929095999999962e-08	1.545191475000000023e-02	-1.050442573999999935e-01	-1.936697124000000074e-07
9.200000000000000000e+01	2.376666667000000011e-01	-1.499928163999999953e+00	-4.985826510000000190e-04	-1.555187904999999956e-09	1.297663262999999931e-03	-8.947129930999999162e-03	-2.791613195000000150e-08	1.565527808999999868e-02	-1.063424753999999972e-01	-1.652287708999999982e-07
9.300000000000000000e+01	2.402499999999999913e-01	-1.499924706000000052e+00	-5.224151215999999582e-04	-1.628251868999999948e-09	1.338673074999999994e-03	-9.225472518000000718e-03	-2.828282490000000130e-08	1.587476605999999998e-02	-1.077455179000000041e-01	-1.419456556000000086e-07
9.400000000000000000e+01	2.428333333000000094e-01	-1.499921247000000069e+00	-5.462503258999999896e-04	-1.701239437999999906e-09	1.380181885000000006e-03	-9.506989538999999559e-03	-2.856079994999999839e-08	1.606792645999999963e-02	-1.089743304999999940e-01	-1.076032463000000048e-07
9.500000000000000000e+01	2.454166667000000079e-01	-1.499917573000000059e+00	-5.715462364999999555e-04	-1.775544382999999954e-09	1.422232757000000064e-03	-9.791965406000000677e-03	-2.876320443999999920e-08	1.627775681999999932e-02	-1.103132388999999991e-01	-7.835012633999999508e-08
9.600000000000000000e+01	2.479999999999999982e-01	-1.499913899000000050e+00	-5.968447747000000256e-04	-1.849763043999999901e-09	1.464768067999999918e-03	-1.007999260999999959e-02	-2.886540937000000102e-08	1.646528196000000138e-02	-1.114944021999999951e-01	-3.956319813000000142e-08
